tweet
RT @ETHZema: የ #አዲስአበባ 133ኛ ዓመት የምሥረታ በዓልን  አስመልክቶ የተዘጋጀ የፓናል ውይይት በጣይቱ ሆቴል፣ አዲስ አበባ።  ነገ አርብ ኅዳር 19 ቀን 2012 ዓ·ም  ከቀኑ 7:00 ሰዓት ጀምሮ https://…
የመከላከያ ሚኒስትር አቶ ለማ መገርሳና የፓርቲያቸው ምላሽ https://t.co/JhIz12v8kr
የመከላከያ ሚኒስትር አቶ ለማ መገርሳና የፓርቲያቸው ምላሽ - ሙሉ ቃለምልልስ -https://t.co/QkZw1quKcS #Ethiopia #Ethiopian https://t.co/5Fb7lx6aNP
የመከላከያ ሚኒስትር አቶ ለማ መገርሳና የፓርቲያቸው ምላሽ - ሙሉ ቃለምልልስ -https://t.co/gs4b2Gb3hM #Ethiopia #Ethiopian https://t.co/6ZVq28mvN5
RT @Abraha_Desta1: በህወሓት ደጋፊዎች ለመወደስ ስለ ውህደቱ ወይ ስለ ዶር ዐብይ መጥፎ መናገር በቂ ነው! ለማ መገርሳ በአንድ ቀን ወዳጃቸው አርገውታል! ተመችተውኛል። አንድ ቀን ዶር ዐብይን በፌስቡክ እሳደብና…
@eskinder_nega እስክንድር በርታ ሁሌም ካንተ ጋር ነን ግን እመነኝ ኤርሚያስን ጠንቀቅ በል ለሁሉም ችላ አትበል
@MahletKS ሰደድ
ሃርቬይ ዴንትን አውቅ ነበር ምሉደይአ ቼኞደጓ በኋላ ይመጣል ምረበነልአ ምንማ ልሚየ ኩርበነ ንማ ኔእ
RT @AbiyAhmedAli: የብልጽግና ፓርቲን አቋምና ምኞት በተመለከተ ለመላ ኢትዮጵያውያን የማስተላልፈው መልእክት። https://t.co/7QpVGM4ec7
